nuclide,raw_value
Cs-134,2924.0
I-128,2407.0
W-183,1026.0
W-187,654.0
W-185,202.0
Al-28,132.0
Cu-64,117.0
Mg-27,63.0
Cu-66,29.0
Ta-182,28.0
Cs-132,27.0
Al-26,26.0
Nb-94,24.0
I-126,21.0
Ag-110,20.0
Na-24,15.0
Na-25,14.0
Cs-131,13.0
W-181,13.0
I-124,7.0
W-180,7.0
Ag-108,7.0
W-178,6.0
Cu-62,5.0
I-125,5.0
Ne-24,4.0
I-123,4.0
Si-27,4.0
Te-119,3.0
I-122,3.0
Cs-130,3.0
Nb-92,2.0
Ne-25,2.0
Xe-133,2.0
F-18,2.0
Na-26,2.0
C-14,2.0
Mn-54,2.0
Ni-59,2.0
Te-123,2.0
I-120,2.0
Xe-121,2.0
Xe-127,2.0
Cs-128,2.0
Ni-63,2.0
Ta-184,2.0
Ta-185,2.0
Na-22,2.0
Xe-125,2.0
Cs-129,2.0
W-174,2.0
Hf-174,2.0
Re-182,2.0
Ne-23,1.0
Ta-174,1.0
Co-58,1.0
Sb-115,1.0
Te-127,1.0
Te-117,1.0
Cs-127,1.0
I-129,1.0
W-175,1.0
Hf-175,1.0
Mn-56,1.0
Cu-60,1.0
Yb-166,1.0
Lu-174,1.0
W-179,1.0
Zr-89,1.0
Ta-171,1.0
W-171,1.0
Re-175,1.0
Re-176,1.0
Re-179,1.0
Re-184,1.0
Te-118,1.0
Xe-123,1.0
Hf-171,1.0
Ta-180,1.0
Re-181,1.0
