VN,ZA,nuclide,exc_keV,RP_yield,hl_s,Activity_Bq,Points
CsI_Bottom_Quadrant_02,53128,I-128,0.0,3.0,1499.3999999999999,15.65304503902826,3
CsI_Side_Segment_00,53128,I-128,0.0,3.0,1499.3999999999999,15.65304503902826,3
CsI_Bottom_Quadrant_00,53128,I-128,0.0,2.0,1499.3999999999999,10.435363359352174,2
ColdPlate_60K,13028,Al-28,0.0,1.0,134.484,5.217681679676087,1
CsI_Side_Segment_01,53128,I-128,0.0,1.0,1499.3999999999999,5.217681679676087,1
CsI_Side_Segment_05,53128,I-128,0.0,1.0,1499.3999999999999,5.217681679676087,1
CsI_Side_Segment_06,53128,I-128,0.0,1.0,1499.3999999999999,5.217681679676087,1
CsI_TopAnnulus_Segment_01,53128,I-128,0.0,1.0,1499.3999999999999,5.217681679676087,1
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,13028,Al-28,0.0,1.0,134.484,5.217681679676087,1
Passive_W_Liner_detector_bay_above_side_port,74187,W-187,0.0,1.0,85392.0,5.217540839831224,1
Passive_W_Bottom_Plate_detector_bay,74185,W-185,0.0,1.0,6488639.999999999,0.6745874077673433,1
CsI_Bottom_Quadrant_00,55134,Cs-134,0.0,2.0,65158740.969984,0.14288119290341714,2
CsI_Side_Segment_00,55134,Cs-134,0.0,2.0,65158740.969984,0.14288119290341714,2
CsI_Bottom_Quadrant_02,55134,Cs-134,0.0,1.0,65158740.969984,0.07144059645170857,1
CsI_Side_Segment_04_side_port_band_00,55134,Cs-134,0.0,1.0,65158740.969984,0.07144059645170857,1
CsI_Side_Segment_06,55134,Cs-134,0.0,1.0,65158740.969984,0.07144059645170857,1
CsI_Side_Segment_07,55134,Cs-134,0.0,1.0,65158740.969984,0.07144059645170857,1
CsI_TopAnnulus_Segment_01,55134,Cs-134,0.0,1.0,65158740.969984,0.07144059645170857,1
