component,stream,tag,primary,source_volume,events,rate_hz,fraction
prompt:eplus,prompt,eplus,eplus,,80,0.05433774850180646,0.8627728853000017
prompt:n,prompt,n,n,,6,0.004071655711650771,0.0646496081112448
delayed:Cu64:ColdPlate_MXC_50mK_SD_anchor,delayed,activation,Cu64,ColdPlate_MXC_50mK_SD_anchor,20,0.0017322832032649665,0.02750513259466313
prompt:muplus,prompt,muplus,muplus,,1,0.0006733204190476959,0.01069095825076142
delayed:Cu62:ColdPlate_MXC_50mK_SD_anchor,delayed,activation,Cu62,ColdPlate_MXC_50mK_SD_anchor,4,0.00034645664065299314,0.0055010265189326234
delayed:Cu64:Cu_SubstrateSupport_SolidDisk_L0_deepest,delayed,activation,Cu64,Cu_SubstrateSupport_SolidDisk_L0_deepest,4,0.00034645664065299314,0.0055010265189326234
delayed:Cu64:ColdPlate_CP_100mK_intercept,delayed,activation,Cu64,ColdPlate_CP_100mK_intercept,3,0.00025984248048974487,0.004125769889199468
delayed:Cu64:DR_MixingChamber_Cu,delayed,activation,Cu64,DR_MixingChamber_Cu,2,0.00017322832032649657,0.0027505132594663117
delayed:Cu64:ColdPlate_Still_0p7K,delayed,activation,Cu64,ColdPlate_Still_0p7K,2,0.00017322832032649657,0.0027505132594663117
delayed:Cu64:Cu_SubstrateSupport_OpenRing_L4_ZM_panel,delayed,activation,Cu64,Cu_SubstrateSupport_OpenRing_L4_ZM_panel,1,8.661416016324829e-05,0.0013752566297331559
delayed:Cu64:DR_Still_Pot_Cu,delayed,activation,Cu64,DR_Still_Pot_Cu,1,8.661416016324829e-05,0.0013752566297331559
delayed:Cu64:ColdPlate_4K,delayed,activation,Cu64,ColdPlate_4K,1,8.661416016324829e-05,0.0013752566297331559
delayed:Cu64:DR_Continuous_HEX_CuNi_CP_to_Still,delayed,activation,Cu64,DR_Continuous_HEX_CuNi_CP_to_Still,1,8.661416016324829e-05,0.0013752566297331559
delayed:Cu62:DR_Continuous_HEX_CuNi_MXC_to_CP,delayed,activation,Cu62,DR_Continuous_HEX_CuNi_MXC_to_CP,1,8.661416016324829e-05,0.0013752566297331559
delayed:Cu62:Passive_Cu_Liner_detector_bay_above_side_port,delayed,activation,Cu62,Passive_Cu_Liner_detector_bay_above_side_port,1,8.661416016324829e-05,0.0013752566297331559
delayed:Cu64:Passive_Cu_Liner_detector_bay_side_port_band_00,delayed,activation,Cu64,Passive_Cu_Liner_detector_bay_side_port_band_00,1,8.661416016324829e-05,0.0013752566297331559
delayed:Cu64:Cu_ColdFinger_OffAxis_YP_ZP_from_Disk_to_Stem,delayed,activation,Cu64,Cu_ColdFinger_OffAxis_YP_ZP_from_Disk_to_Stem,1,8.661416016324829e-05,0.0013752566297331559
delayed:Cu64:Cu_ColdFinger_Stem_YM_ZP_to_MXC,delayed,activation,Cu64,Cu_ColdFinger_Stem_YM_ZP_to_MXC,1,8.661416016324829e-05,0.0013752566297331559
delayed:Co58:ColdPlate_MXC_50mK_SD_anchor,delayed,activation,Co58,ColdPlate_MXC_50mK_SD_anchor,1,8.661416016324829e-05,0.0013752566297331559
