source_volume,events,rate_hz,fraction
ColdPlate_MXC_50mK_SD_anchor,25,0.002165354004081208,0.5555555555555556
Cu_SubstrateSupport_SolidDisk_L0_deepest,4,0.00034645664065299314,0.08888888888888886
ColdPlate_CP_100mK_intercept,3,0.00025984248048974487,0.06666666666666665
DR_MixingChamber_Cu,2,0.00017322832032649657,0.04444444444444443
ColdPlate_Still_0p7K,2,0.00017322832032649657,0.04444444444444443
Cu_SubstrateSupport_OpenRing_L4_ZM_panel,1,8.661416016324829e-05,0.022222222222222216
DR_Still_Pot_Cu,1,8.661416016324829e-05,0.022222222222222216
ColdPlate_4K,1,8.661416016324829e-05,0.022222222222222216
DR_Continuous_HEX_CuNi_CP_to_Still,1,8.661416016324829e-05,0.022222222222222216
DR_Continuous_HEX_CuNi_MXC_to_CP,1,8.661416016324829e-05,0.022222222222222216
Passive_Cu_Liner_detector_bay_above_side_port,1,8.661416016324829e-05,0.022222222222222216
Passive_Cu_Liner_detector_bay_side_port_band_00,1,8.661416016324829e-05,0.022222222222222216
Cu_ColdFinger_OffAxis_YP_ZP_from_Disk_to_Stem,1,8.661416016324829e-05,0.022222222222222216
Cu_ColdFinger_Stem_YM_ZP_to_MXC,1,8.661416016324829e-05,0.022222222222222216
