window,stream,stage,events,rate_s-1
broad_480_550,prompt,raw,0,0
broad_480_550,prompt,active_veto_pass,0,0
broad_480_550,prompt,side_compton_fov_pass,0,0
broad_480_550,delayed,raw,0,0
broad_480_550,delayed,active_veto_pass,0,0
broad_480_550,delayed,side_compton_fov_pass,0,0
broad_480_550,science,raw,0,0
broad_480_550,science,active_veto_pass,0,0
broad_480_550,science,side_compton_fov_pass,0,0
w2_510p58_511p42,prompt,raw,0,0
w2_510p58_511p42,prompt,active_veto_pass,0,0
w2_510p58_511p42,prompt,side_compton_fov_pass,0,0
w2_510p58_511p42,delayed,raw,0,0
w2_510p58_511p42,delayed,active_veto_pass,0,0
w2_510p58_511p42,delayed,side_compton_fov_pass,0,0
w2_510p58_511p42,science,raw,0,0
w2_510p58_511p42,science,active_veto_pass,0,0
w2_510p58_511p42,science,side_compton_fov_pass,0,0
