source_name,VN,ZA,nuclide,old_flux_Bq,new_flux_Bq,removed
S_CsI_Bottom_Quadrant_00_55134_z000,CsI_Bottom_Quadrant_00,55134,Cs-134,0.0714405965,0.07143220985369365,False
S_CsI_Bottom_Quadrant_00_55134_z009,CsI_Bottom_Quadrant_00,55134,Cs-134,0.0714405965,0.07143220985369365,False
S_CsI_Bottom_Quadrant_02_55134_z005,CsI_Bottom_Quadrant_02,55134,Cs-134,0.0714405965,0.07143220985369365,False
S_CsI_Side_Segment_00_55134_z000,CsI_Side_Segment_00,55134,Cs-134,0.0714405965,0.07143220985369365,False
S_CsI_Side_Segment_00_55134_z009,CsI_Side_Segment_00,55134,Cs-134,0.0714405965,0.07143220985369365,False
S_CsI_Side_Segment_04_side_port_band_00_55134_z005,CsI_Side_Segment_04_side_port_band_00,55134,Cs-134,0.0714405965,0.07143220985369365,False
S_CsI_Side_Segment_06_55134_z005,CsI_Side_Segment_06,55134,Cs-134,0.0714405965,0.07143220985369365,False
S_CsI_Side_Segment_07_55134_z005,CsI_Side_Segment_07,55134,Cs-134,0.0714405965,0.07143220985369365,False
S_CsI_TopAnnulus_Segment_01_55134_z005,CsI_TopAnnulus_Segment_01,55134,Cs-134,0.0714405965,0.07143220985369365,False
S_Passive_W_Liner_detector_bay_above_side_port_74187_z005,Passive_W_Liner_detector_bay_above_side_port,74187,W-187,5.21754084,5.217535191048959,False
