window,stream,stage,events,rate_s-1,survival_fraction_vs_raw
broad_480_550,prompt,raw,343,0.24704205674,1
broad_480_550,prompt,active_veto_pass,101,0.0732854965277,0.296651904112
broad_480_550,prompt,side_compton_fov_pass,86,0.0631059286155,0.255446094678
broad_480_550,delayed,raw,86,0.00738225000163,1
broad_480_550,delayed,active_veto_pass,43,0.00369112500081,0.5
broad_480_550,delayed,side_compton_fov_pass,37,0.00317608430303,0.43023255814
broad_480_550,science,raw,30383,0.816879066516,1
broad_480_550,science,active_veto_pass,30383,0.816879066516,1
broad_480_550,science,side_compton_fov_pass,29767,0.800317255472,0.979725504394
w2_510p58_511p42,prompt,raw,161,0.118771369178,1
w2_510p58_511p42,prompt,active_veto_pass,60,0.0407123030753,0.342778763577
w2_510p58_511p42,prompt,side_compton_fov_pass,54,0.0366410230297,0.308500468447
w2_510p58_511p42,delayed,raw,54,0.00463536628009,1
w2_510p58_511p42,delayed,active_veto_pass,33,0.00283272383783,0.611111111111
w2_510p58_511p42,delayed,side_compton_fov_pass,30,0.00257520348894,0.555555555556
w2_510p58_511p42,science,raw,30323,0.815265903103,1
w2_510p58_511p42,science,active_veto_pass,30323,0.815265903103,1
w2_510p58_511p42,science,side_compton_fov_pass,29715,0.798919180513,0.979949213469
